Generated Answer,Ground Truth,Context1,Context2,Context3,,
"In this context, popular sovereignty refers to the idea that the people have the ultimate authority over their government and political system. It means that the power of government comes from the people, who have the right to elect their representatives and decide on the policies and laws that govern them. This concept is closely related to democracy, as it emphasizes the role of the people in shaping their political system. The term popular sovereingty is used to contrast with other forms of government, such as aristocracy or monarchy, where power is held by a small elite rather than the broader population.","Popular Sovereignty means that through their elected representatives (the rule of the people) which is the source of every political power, a state and its government are created and sustained by the consent of its people.","The take-off point for a democracy is the idea of consent, i.e. the desire, approval and participation of people. It is the decision of people that creates a democratic government and decides about its functioning. The basic idea in this kind of democracy is that the individual or the citizen is the most important person and that in principle the government as well as other public institutions need to ha ve the tr ust of these citizens. How does the individual give approval to the government? One way of doing so, as you read, is through elections. People would elect their representatives to the Parliament, then, one group from among these elected representatives forms the go vernment. The Parliament, which is made up of all representatives together, controls and guides the government. In this sense people, through their chosen representatives, form the g overnment and also control it. Give one reason why you think","Social and Political Life 12 decisions for everyone. Instead, it was important to have another level of government in the states so that decisions could be made for that particular area. While each state in India enjoys autonomy in exercising powers on certain issues, subjects of national concern require that all of these states follow the laws of the central government. The Constitution contains lists that detail the issues that each tier of government can make laws on. In addition, the Constitution also specifies where each tier of government can get the money from for the work that it does. Under federalism, the states are not merely agents of the federal government but draw their authority from the Constitution as well. All persons in India are governed by laws and policies made by each of these levels of government. 2. Parliamentary Form of Government: The different tiers of government that you just read about consist of representatives who are elected by the people. Your Class;Social and Political Life 12 decisions for everyone. Instead, it was important to have another level of government in the states so that decisions could be made for that particular area. ","While each state in India enjoys autonomy in exercising powers on certain issues, subjects of national concern require that all of these states follow the laws of the central government. The Constitution contains lists that detail the issues that each tier of government can make laws on. In addition, the Constitution also specifies where each tier of government can get the money from for the work that it does. Under federalism, the states are not merely agents of the federal government but draw their authority from the Constitution as well. All persons in India are governed by laws and policies made by each of these levels of government. 2. Parliamentary Form of Government: The different tiers of government that you just read about consist of representatives who are elected by the people. Your Class;Social and Political Life 32 People and their Representatives ",,
"A multi-party system is defined as a political system where more than two parties have a reasonable chance of coming to power either on their own strength or in alliance with others. In this system, the government is formed by various parties coming together in a coalition. Examples of multi-party systems include India, the United Kingdom, and other countries with diverse social and geographical divisions. The multiparty system allows for political representation of various interests and opinions, but it can also lead to political instability. Ultimately, the development of a party system is influenced by a country's unique societal, historical, and electoral factors, making it difficult to determine which system is superior.",If several parties compete for power and more than two parties have a reasonable chance of coming to power either on their own strength or in alliance with others we call it a multi-party system.,"three parties. No system is ideal for all countries and all situations. I wonder how politicians manage these coalitions. I can’t even remember the names of all the parties. Let us apply what we have learnt about party systems to the various states within India. Here are three major types of party systems that exist at the State level. Can you find the names of at least two States for each of these types?  Two-party system  Multiparty system with two alliances  Multiparty system Chapter 4.indd 51 08-04-2022 12:33:39 2024-25;three parties. No system is ideal for all countries and all situations. I wonder how politicians manage these coalitions. I can’t even remember the names of all the parties. Let us apply what we have learnt about party systems to the various states within India. Here are three major types of party systems that exist at the State level. Can you find the names of at least two States for each of these types?  Two-party system  Multiparty system with two alliances  Multiparty system Chapter 4.indd 51 08-04-2022 12:33:39 2024-25;the United Kingdom are examples of two-party system. If several parties compete for power, and more than two parties have a reasonable chance of coming to power either on their own strength or in alliance with others, we call it a multiparty system. Thus in India, we have a multiparty system. In this system, the government is formed by various parties coming together in a coalition. When several parties in a multi-party system join hands for the purpose of contesting elections and winning power, it is called an alliance or a front. For example, in India there were three such major alliances in 2004 parliamentary elections– the National Democratic Alliance, the United Progressive Alliance and the Left Front. The multiparty system often appears very messy and leads to political instability. At the same time, this system allows a variety of interests and opinions to enjoy political representation. So, which of these is better?",three parties. No system is ideal for all countries and all situations. I wonder how politicians manage these coalitions. I can’t even remember the names of all the parties. Let us apply what we have learnt about party systems to the various states within India. Here are three major types of party systems that exist at the State level. Can you find the names of at least two States for each of these types?  Two-party system  Multiparty system with two alliances  Multiparty system Chapter 4.indd 51 08-04-2022 12:33:39 2024-25;three parties. No system is ideal for all countries and all situations. I wonder how politicians manage these coalitions. I can’t even remember the names of all the parties. Let us apply what we have learnt about party systems to the various states within India. ,three parties. No system is ideal for all countries and all situations. I wonder how politicians manage these coalitions. I can’t even remember the names of all the parties. Let us apply what we have learnt about party systems to the various states within India. Here are three major types of party systems that exist at the State level. Can you find the names of at least two States for each of these types?  Two-party system  Multiparty system with two alliances  Multiparty system Chapter 4.indd 51 08-04-2022 12:33:39 2024-25;three parties. No system is ideal for all countries and all situations. I wonder how politicians manage these coalitions. I can’t even remember the names of all the parties. Let us apply what we have learnt about party systems to the various states within India. ,,
"Independent institutions are important in democracy as they provide a check on the power of the ruling authority, ensuring that power is distributed among different organs of government and that none can exercise unlimited power. These institutions, such as the legislature, executive, and judiciary, play a key role in major decisions and disputes are resolved through their functioning. They are connected to other institutions and their functioning is more or less democratic depending on the context. While dealing with these institutions can be frustrating due to rules and regulations, delays, and complications, they provide an opportunity for a wider set of people to be consulted in any decision, making it more democratic. Additionally, power sharing arrangements among different organs of government can take many forms, such as horizontal distribution of power, where different organs exercise different powers, resulting in a balance of power among various institutions.","Independent institutions are important in democracy because they provide a framework for decision-making and ensure that power is distributed fairly and accountably. These institutions, such as the legislature, executive, and judiciary, play a key role in major decisions by bringing together diverse perspectives and ensuring that decisions are made through a process of consultation and debate. "," You have already read something about these institutions in earlier classes. Here we shall quickly summarise those and move on to asking larger questions. In the case of each institution we ask: What does this institution do? How is this institution connected to other institutions? What makes its functioning more or less democratic? The basic objective;tutions in this example? What is their role? Working with institutions is not easy. Institutions involve rules and regulations. This can bind the hands of leaders. Institutions involve meetings, committees and routines. This often leads to delays and complications. Therefore dealing with institutions can be frustrating. One might feel that it is much better to have one person take all decisions without any rules, procedures and meetings. But that is not the spirit of democracy. Some of the delays and complications introduced by institutions are very useful. They provide an opportunity for a wider set of people to be consulted in any decision. Institutions make it Supreme Court Cabinet President Government Officials 2024-25","56 DEMOCRATIC P OLITICS OVERVIEW Democracy is not just about people electing their rulers. In a democracy the rulers have to follow some rules and procedures. They have to work with and within institutions. This chapter is about the working of such institutions in a democracy. We try to understand this by looking at the manner in which major decisions are taken and implemented in our country. We also look at how disputes regarding these decisions are resolved. In this process we come across three institutions that play a key role in major decisions – legislature, executive and judiciary. You have already read something about these institutions in earlier classes. Here we shall quickly summarise those and move on to asking larger questions. In the case of each institution we ask: What does this institution do? How is this institution connected to other institutions? What makes its functioning more or less democratic? The basic objective;56 DEMOCRATIC P OLITICS OVERVIEW Democracy is not just about people electing their rulers. In a democracy the rulers have to follow some rules and procedures. They have to work with and within institutions. This chapter is about the working of such institutions in a democracy. We try to understand this by looking at the manner in which major decisions are taken and implemented in our country. We also look at how disputes regarding these decisions are resolved. In this process we come across three institutions that play a key role in major decisions – legislature, executive and judiciary.","56 DEMOCRATIC P OLITICS OVERVIEW Democracy is not just about people electing their rulers. In a democracy the rulers have to follow some rules and procedures. They have to work with and within institutions. This chapter is about the working of such institutions in a democracy. We try to understand this by looking at the manner in which major decisions are taken and implemented in our country. We also look at how disputes regarding these decisions are resolved. In this process we come across three institutions that play a key role in major decisions – legislature, executive and judiciary. You have already read something about these institutions in earlier classes. Here we shall quickly summarise those and move on to asking larger questions. In the case of each institution we ask: What does this institution do? How is this institution connected to other institutions? What makes its functioning more or less democratic? The basic objective;56 DEMOCRATIC P OLITICS OVERVIEW Democracy is not just about people electing their rulers. In a democracy the rulers have to follow some rules and procedures. They have to work with and within institutions. This chapter is about the working of such institutions in a democracy. We try to understand this by looking at the manner in which major decisions are taken and implemented in our country. We also look at how disputes regarding these decisions are resolved. In this process we come across three institutions that play a key role in major decisions – legislature, executive and judiciary.",,
"An autocracy is a system of government where one person holds absolute power and control over the state and its citizens. In an autocracy, there are no checks or balances on the leader's power, and they have complete control over the government and its policies. The leader is not accountable to any other branch of government or to the public, and their decisions are final and absolute. Examples of autocratic governments include those found in Latin America and the former Soviet Union. In contrast, a democracy is a system of government where power is shared among different branches of government, and the leader is accountable to the people and must share power with other branches.",Autocracy is a form of government in which one person possesses unlimited power or supreme authority over the government and its people.," Evolution: Process of development from a simple to a complex form and is often used to discuss the development of a species of plants or animals. In the context of this chapter it refers to the way in which protecting women against domestic violence developed from an;the persons in key positions change. So, to attend to all these tasks, several arrangements are made in all modern democracies. Such arrangements are called institutions. A democracy works well when these institutions perform functions assigned to them. The Constitution of any country lays down basic rules on the powers and functions of each institution. In the example above, we saw several such institutions at work. /UIstopThe Prime Minister and the Cabinet are institutions that take all important policy decisions. /UIstopThe Civil Servants, working together, are responsible for taking steps to implement the ministers’ decisions. /UIstopSupreme Court is an institution where disputes between citizens and the government are finally settled. Can you think of some other insti- tutions in this example? What is their role? Working with institutions is not easy. Institutions involve rules and regulations. This can bind the hands of leaders. Institutions involve","Social and Political Life 44 Approval: To give one’s consent to and be favourable towards something. In the context of this chapter , it refers both to the formal consent (through elected representatives) that Parliament has as well as the fact that it needs to continue to enjoy the people’ s trust. Coalition: A temporary alliance of groups or parties. In this chapter , it refers to the alliance formed by political parties after elections when no party has been able to get adequate seats to form a clear majority . Criticise: To find fault with or disapprove of a person or thing. In the context of this chapter , it refers to citizens finding fault with the functioning of government. Evolution: Process of development from a simple to a complex form and is often used to discuss the development of a species of plants or animals. In the context of this chapter it refers to the way in which protecting women against domestic violence developed from an;Social and Political Life 44 Approval: To give one’s consent to and be favourable towards something. In the context of this chapter , it refers both to the formal consent (through elected representatives) that Parliament has as well as the fact that it needs to continue to enjoy the people’ s trust. Coalition: A temporary alliance of groups or parties. In this chapter , it refers to the alliance formed by political parties after elections when no party has been able to get adequate seats to form a clear majority . Criticise: To find fault with or disapprove of a person or thing. In the context of this chapter , it refers to citizens finding fault with the functioning of government.","Social and Political Life 44 Approval: To give one’s consent to and be favourable towards something. In the context of this chapter , it refers both to the formal consent (through elected representatives) that Parliament has as well as the fact that it needs to continue to enjoy the people’ s trust. Coalition: A temporary alliance of groups or parties. In this chapter , it refers to the alliance formed by political parties after elections when no party has been able to get adequate seats to form a clear majority . Criticise: To find fault with or disapprove of a person or thing. In the context of this chapter , it refers to citizens finding fault with the functioning of government. Evolution: Process of development from a simple to a complex form and is often used to discuss the development of a species of plants or animals. In the context of this chapter it refers to the way in which protecting women against domestic violence developed from an;Social and Political Life 44 Approval: To give one’s consent to and be favourable towards something. In the context of this chapter , it refers both to the formal consent (through elected representatives) that Parliament has as well as the fact that it needs to continue to enjoy the people’ s trust. Coalition: A temporary alliance of groups or parties. In this chapter , it refers to the alliance formed by political parties after elections when no party has been able to get adequate seats to form a clear majority . Criticise: To find fault with or disapprove of a person or thing. In the context of this chapter , it refers to citizens finding fault with the functioning of government.",,
" Democracy prevents abuse of power by sharing power among different groups or individuals, ensuring that no single entity has too much control. This is achieved through the consent of all those who are affected by the decision, regardless of their level of power. In a democratic system, everyone has an equal say in decision-making, which helps prevent any one person or group from abusing their power. Additionally, democracy promotes stability and unity by ensuring that the majority community's will is not imposed over others without their consent. Instead, power is shared among different groups, resulting in better outcomes for everyone involved.","In a democracy, the citizens must have freedom to choose among various contenders for power. In contemporary democracies, this takes the form of competition among different parties. Such competition ensures that power does not remain in one hand."," Tyranny of the majority is not just oppressive for the minority; it often affects majority adversely as well. There is a second, deeper reason why power sharing is good for democracies. Power sharing is the very spirit of democracy. A democratic rule involves sharing power with those affected by its exercise, and who have to live with its effects. People have a right to be consulted on how they are to be governed. A legitimate government is one where citizens, through participation, acquire a stake in the system. Let us call the first set of reasons prudential and the second moral. While prudential reasons stress that power sharing will bring out better outcomes, moral reasons;long time, it was believed that all power of a government must reside in one person or group of persons located at one place. It was felt that if the power to decide is dispersed, it would not be possible to take quick decisions and to enforce them. But these notions have changed with the emergence of democracy. One basic principle of democracy is that people are the source of all political power. In a democracy, people rule themselves through institutions of self-government. In a good democratic government, due respect is given to diverse groups and views that exist in a society. Everyone has a voice in the shaping of public policies. Therefore, it follows that in a democracy, political Forms of power-sharing Reigning the Reins In 2005, some new laws were made in Russia giving more powers to its president. During the same time, the US president visited Russia. What, according to this cartoon, is the relationship between democracy","and political instability, power sharing is a good way to ensure the stability of political order. Imposing the will of majority community over others may look like an attractive option in the short run, but in the long run it undermines the unity of the nation. Tyranny of the majority is not just oppressive for the minority; it often affects majority adversely as well. There is a second, deeper reason why power sharing is good for democracies. Power sharing is the very spirit of democracy. A democratic rule involves sharing power with those affected by its exercise, and who have to live with its effects. People have a right to be consulted on how they are to be governed. A legitimate government is one where citizens, through participation, acquire a stake in the system. Let us call the first set of reasons prudential and the second moral. While prudential reasons stress that power sharing will bring out better outcomes, moral reasons;and political instability, power sharing is a good way to ensure the stability of political order. Imposing the will of majority community over others may look like an attractive option in the short run, but in the long run it undermines the unity of the nation.","and political instability, power sharing is a good way to ensure the stability of political order. Imposing the will of majority community over others may look like an attractive option in the short run, but in the long run it undermines the unity of the nation. Tyranny of the majority is not just oppressive for the minority; it often affects majority adversely as well. There is a second, deeper reason why power sharing is good for democracies. Power sharing is the very spirit of democracy. A democratic rule involves sharing power with those affected by its exercise, and who have to live with its effects. People have a right to be consulted on how they are to be governed. A legitimate government is one where citizens, through participation, acquire a stake in the system. Let us call the first set of reasons prudential and the second moral. While prudential reasons stress that power sharing will bring out better outcomes, moral reasons;and political instability, power sharing is a good way to ensure the stability of political order. Imposing the will of majority community over others may look like an attractive option in the short run, but in the long run it undermines the unity of the nation.",,
"A secular state is one that separates religion from the state and does not favor or promote any particular religion over others. In other words, it does not establish any religion as the official religion of the state, nor does it discriminate against any religious group. The Indian Constitution mandates that the Indian State be secular, which means ensuring that no one religious community dominates another, and that the state does not enforce or promote any particular religion. This is important for a democratic country to prevent tyranny of the majority, where the majority religious group could discriminate against and persecute minority groups. Indian secularism differs from other democratic countries in that it provides financial aid to educational institutions on a non-preferential basis, which means that no particular religion is given preference.","A secular state is defined as one that separates religion from its power and does not promote or enforce any particular religion. This allows for religious freedom and prevents any one religious group from dominating others, ensuring that all citizens are treated fairly and equally under the law."," The Indian State is not ruled by a religious group and nor does it support any one religion. In India, government spaces like law courts, police stations, government schools and offices are not supposed to display or promote any one religion. Chapter 2: Understanding Secularism Pinky, VI G, Sarvodaya Kanya Vidyalaya , Delhi. 2024-25;Social and Political Life 20 Discuss in class: Can there be different views within the same religion? Why is it Important to Separate Religion from the State? As discussed above, the most important aspect of secularism is its separation of religion from State power. This is important for a country to function democratically. Almost all countries of the world will have more than one religious group living in them. Within these religious groups, there will most likely be one group that is in a majority. If this majority religious group has access to State power, then it could quite easily use this power and financial resources to discriminate against and persecute persons of other religions. This tyranny of the majority could result in the discrimination, coercion and at times even the killing of religious minorities. The majority could quite easily prevent minorities from practising their religions. Any form of domination based on religion is in violation of the","21 What is Indian Secularism? The Indian Constitution mandates that the Indian State be secular. According to the Constitution, only a secular State can realise its objectives to ensure the following:that one religious community does not dominate another;that some members do not dominate other members of the same religious community;that the State does not enforce any particular religion nor take away the religious freedom of individuals. The Indian State works in various ways to prevent the above domination. First, it uses a strategy of distancing itself from religion. The Indian State is not ruled by a religious group and nor does it support any one religion. In India, government spaces like law courts, police stations, government schools and offices are not supposed to display or promote any one religion. Chapter 2: Understanding Secularism Pinky, VI G, Sarvodaya Kanya Vidyalaya , Delhi. 2024-25;21 What is Indian Secularism? The Indian Constitution mandates that the Indian State be secular. According to the Constitution, only a secular State can realise its objectives to ensure the following:that one religious community does not dominate another;that some members do not dominate other members of the same religious community;that the State does not enforce any particular religion nor take away the religious freedom of individuals. The Indian State works in various ways to prevent the above domination. First, it uses a strategy of distancing itself from religion.","21 What is Indian Secularism? The Indian Constitution mandates that the Indian State be secular. According to the Constitution, only a secular State can realise its objectives to ensure the following:that one religious community does not dominate another;that some members do not dominate other members of the same religious community;that the State does not enforce any particular religion nor take away the religious freedom of individuals. The Indian State works in various ways to prevent the above domination. First, it uses a strategy of distancing itself from religion. The Indian State is not ruled by a religious group and nor does it support any one religion. In India, government spaces like law courts, police stations, government schools and offices are not supposed to display or promote any one religion. Chapter 2: Understanding Secularism Pinky, VI G, Sarvodaya Kanya Vidyalaya , Delhi. 2024-25;21 What is Indian Secularism? The Indian Constitution mandates that the Indian State be secular. According to the Constitution, only a secular State can realise its objectives to ensure the following:that one religious community does not dominate another;that some members do not dominate other members of the same religious community;that the State does not enforce any particular religion nor take away the religious freedom of individuals. The Indian State works in various ways to prevent the above domination. First, it uses a strategy of distancing itself from religion.",,
" Constitutive rules are the ideals or principles that define the kind of society we want to live in, as outlined in the passage. These rules are established through social movements or collective actions, such as the people's movement for democracy in Nepal. The passage suggests that if no one followed these constitutive rules, society would not be able to function properly. Examples of constitutive rules mentioned in the passage include the idea that girls should have equal opportunities to play basketball as boys, and that Shabnam should be allowed to revise her chapters instead of watching TV. The passage also highlights the importance of governance, which involves taking decisions, organizing society's life with different sets of rules, and ensuring that these rules are followed.",Constitutive rules contain the conditions that have to be met in a particular context for a certain status to be instantiated. ,"Suresh, the class monitor wrongly picks on Anil, his classmate. The girls do not get to play basketball because the boys are a majority in class. Shabnam decides to revise her chapters instead of watching TV. Q 2024-25;What would happen if no one followed those rules? A simple answer is that society would not be able to function. LET’S EXPLORE Æ Describe the two pictures given in Fig. 10.1 on page 151 — what differences do you see between them? Æ How do you connect this with our discussion on rules? Æ What are some of the rules in your school? Who made them? Who makes the rules and why? How are they made? These are some of the questions we will explore in this chapter . The process of taking decisions, organising the society’s life with different sets of rules, and ensuring that they are followed, is called governance. The group of individuals or the system that makes the rules and ensures that they are followed is called a government. Some of the more important rules are called laws. This does not mean that rules and laws are set once and for all. Just as you might discuss a particular rule at home with your parents, or as a student body might ask the school or","recalling the constitutive rules that you have read about through these examples: Example Constitutive Rules The people of Nepal adopted a new It lays down ideals that define the kind of Constitution after the success of the country that we want to live in. people’s movement for democracy . Suresh, the class monitor wrongly picks on Anil, his classmate. The girls do not get to play basketball because the boys are a majority in class. Shabnam decides to revise her chapters instead of watching TV. Q 2024-25;recalling the constitutive rules that you have read about through these examples: Example Constitutive Rules The people of Nepal adopted a new It lays down ideals that define the kind of Constitution after the success of the country that we want to live in. people’s movement for democracy . ","recalling the constitutive rules that you have read about through these examples: Example Constitutive Rules The people of Nepal adopted a new It lays down ideals that define the kind of Constitution after the success of the country that we want to live in. people’s movement for democracy . Suresh, the class monitor wrongly picks on Anil, his classmate. The girls do not get to play basketball because the boys are a majority in class. Shabnam decides to revise her chapters instead of watching TV. Q 2024-25;recalling the constitutive rules that you have read about through these examples: Example Constitutive Rules The people of Nepal adopted a new It lays down ideals that define the kind of Constitution after the success of the country that we want to live in. people’s movement for democracy . ",,
"A country needs a constitution to establish a set of rules and principles that govern the relationship between its citizens and government, as well as among the citizens themselves. A constitution serves as a supreme law that outlines the fundamental nature of a society, lays down the ideals and objectives, and provides a framework for governance. It helps in shaping the destiny of a nation by determining the type of government, principles of democracy, and rights and duties of citizens. Additionally, it provides a basis for membership to any person without discrimination. In essence, a constitution is essential for creating a harmonious and just society where individuals can live together peacefully.",A Constitution helps serve as a set of rules and principles that all persons in a country can agree upon as the basis of the way in which they want the country to be governed. ," The Constitution serves several purposes. First, it lays out certain ideals that form the basis of the kind of country that we as citizens aspire to live in. Or, put another way, a Constitution tells us what the fundamental nature of our society is. A country is usually made up of different communities of people who share certain beliefs but may not necessarily agree on all issues. A Constitution helps serve as a set of rules and principles that all persons in a country can agree upon as the basis of the way in which they want the country to be governed. This includes not only the type of government but also an agreement on certain ideals that they all believe the country should uphold. Why Does a Country Need a Constitution?;governed. This includes not only the type of government but also an agreement on certain ideals that they all believe the country should uphold. Why Does a Country Need a Constitution? In 1934, the Indian National Congress made the demand for a Constituent Assembly. During the Second World War , this assertion for an independent Constituent Assembly formed only of Indians gained momentum and this was convened in December 1946. The photo on page 2 shows some members of the Constituent Assembly. Between December 1946 and November 1949, the Constituent Assembly drafted a constitution for independent India. Free to shape their destiny at last, after 150 years of British rule, the members of the Constituent Assembly approached this task with the great idealism that the freedom struggle had helped produce. You will read more about the work of the Constituent Assembly later in the chapter. The photo alongside shows Prime Minister Jawaharlal Nehru addressing the Constituent Assembly.","5 The Indian Constitution Today most countries in the world have a Constitution. While all democratic countries are likely to have a Constitution, it is not necessary that all countries that have a Constitution are democratic. The Constitution serves several purposes. First, it lays out certain ideals that form the basis of the kind of country that we as citizens aspire to live in. Or, put another way, a Constitution tells us what the fundamental nature of our society is. A country is usually made up of different communities of people who share certain beliefs but may not necessarily agree on all issues. A Constitution helps serve as a set of rules and principles that all persons in a country can agree upon as the basis of the way in which they want the country to be governed. This includes not only the type of government but also an agreement on certain ideals that they all believe the country should uphold. Why Does a Country Need a Constitution?;5 The Indian Constitution Today most countries in the world have a Constitution. While all democratic countries are likely to have a Constitution, it is not necessary that all countries that have a Constitution are democratic.","5 The Indian Constitution Today most countries in the world have a Constitution. While all democratic countries are likely to have a Constitution, it is not necessary that all countries that have a Constitution are democratic. The Constitution serves several purposes. First, it lays out certain ideals that form the basis of the kind of country that we as citizens aspire to live in. Or, put another way, a Constitution tells us what the fundamental nature of our society is. A country is usually made up of different communities of people who share certain beliefs but may not necessarily agree on all issues. A Constitution helps serve as a set of rules and principles that all persons in a country can agree upon as the basis of the way in which they want the country to be governed. This includes not only the type of government but also an agreement on certain ideals that they all believe the country should uphold. Why Does a Country Need a Constitution?;5 The Indian Constitution Today most countries in the world have a Constitution. While all democratic countries are likely to have a Constitution, it is not necessary that all countries that have a Constitution are democratic.",,
The Indian Constituent Assembly was convened in 1946.,"The Indian Constituent Assembly, formed on the recommendation of the Cabinet Mission Plan of 1946, convened for its first meeting on December 9, 1946.","These are called ‘Constituent Assembly Debates’. When printed, these debates are 12 bulky volumes! These debates provide the rationale behind every provision of the Constitution. These are used to interpret the meaning of the Constitution. Read the information about all the makers of the Indian Constitution given in the side columns here. You don’t need to memorise this infor mation. Just give examples from these to suppor t the following;25 CHECK YOUR PROGRESS elected mainly by the members of the existing Provincial Legislatures that we mentioned above. This ensured a fair geographical share of members from all the regions of the country. The Assembly was dominated by the Indian National Congress, the party that led India’s freedom struggle. But the Congress itself included a variety of political groups and opinions. The Assembly had many members who did not agree with the Congress. In social terms too, the Assembly represented members from different language groups, castes, classes, religions and occupations. Even if the Constituent Assembly was elected by universal adult franchise, its composition would not have been very different. Finally, the manner in which the Constituent Assembly worked gives sanctity to the Constitution. The Constituent Assembly worked in a systematic, open and consensual manner. First some basic principles were decided and agreed upon. Then a Drafting Committee chaired by Dr.","Constituent Assembly worked in a systematic, open and consensual manner. First some basic principles were decided and agreed upon. Then a Drafting Committee chaired by Dr. B.R. Ambedkar prepared a draft constitution for discussion. Several rounds of thorough discussion took place on the Draft Constitution, clause by clause. More than two thousand amendments were considered. The members deliberated for 114 days spread over three years. Every document presented and every word spoken in the Constituent Assembly has been recorded and preserved. These are called ‘Constituent Assembly Debates’. When printed, these debates are 12 bulky volumes! These debates provide the rationale behind every provision of the Constitution. These are used to interpret the meaning of the Constitution. Read the information about all the makers of the Indian Constitution given in the side columns here. You don’t need to memorise this infor mation. Just give examples from these to suppor t the following;Constituent Assembly worked in a systematic, open and consensual manner. First some basic principles were decided and agreed upon. Then a Drafting Committee chaired by Dr. B.R. Ambedkar prepared a draft constitution for discussion. Several rounds of thorough discussion took place on the Draft Constitution, clause by clause. More than two thousand amendments were considered. The members deliberated for 114 days spread over three years. Every document presented and every word spoken in the Constituent Assembly has been recorded and preserved. ","Constituent Assembly worked in a systematic, open and consensual manner. First some basic principles were decided and agreed upon. Then a Drafting Committee chaired by Dr. B.R. Ambedkar prepared a draft constitution for discussion. Several rounds of thorough discussion took place on the Draft Constitution, clause by clause. More than two thousand amendments were considered. The members deliberated for 114 days spread over three years. Every document presented and every word spoken in the Constituent Assembly has been recorded and preserved. These are called ‘Constituent Assembly Debates’. When printed, these debates are 12 bulky volumes! These debates provide the rationale behind every provision of the Constitution. These are used to interpret the meaning of the Constitution. Read the information about all the makers of the Indian Constitution given in the side columns here. You don’t need to memorise this infor mation. Just give examples from these to suppor t the following;Constituent Assembly worked in a systematic, open and consensual manner. First some basic principles were decided and agreed upon. Then a Drafting Committee chaired by Dr. B.R. Ambedkar prepared a draft constitution for discussion. Several rounds of thorough discussion took place on the Draft Constitution, clause by clause. More than two thousand amendments were considered. The members deliberated for 114 days spread over three years. Every document presented and every word spoken in the Constituent Assembly has been recorded and preserved. ",,
"Federalism is a system of government where power is divided between two or more levels of government, each with its own jurisdiction and authority. In a federal system, the central government and the state governments share powers, and each level of government has its own specific responsibilities and areas of control. The exact balance of power between the central and state governments varies from one federation to another and depends on historical context in which the federation was formed. There are two kinds of routes through which federations have been formed: independent states coming together to form a bigger unit, so that by pooling sovereignty and retaining identity, they can increase their security, or a unitary state with regions having varying degrees of autonomy. The fundamental provisions of the constitution cannot be unilaterally changed by one level of government, and courts have the power to interpret the constitution and the powers of different levels of government. Federalism ensures that there are multiple sources of revenue for each level of government.",Federalism is a system of government in which the power is divided between a central authority and various constituent units of the country.,"Governments at different levels should agree to some rules of power-sharing. They should also trust that each would abide by its part of the agreement. An ideal federal system has both aspects : mutual trust and agreement to live together. The exact balance of power between the central and the state government varies from one federation to another. This balance depends mainly on the historical context in which the federation was formed. There are two kinds of routes through which federations have been formed. The first route involves independent States coming together on their own to form a bigger unit, so that by pooling sovereignty and retaining identity, they can increase their security. This type of ‘coming;answerable to the people. Let us look at some of the key features of federalism : 1 There are two or more levels (or tiers) of government. 2 Different tiers of government govern the same citizens, but each tier has its own jurisdiction in specific matters of legislation, taxation and administration. 3 The jur isdictions of the respective levels or tiers of government are specified in the constitution. So the existence and authority of each tier of government is constitutionally guaranteed. 4 The fundamental provisions of the constitution cannot be unilaterally changed by one level of government. Such changes require the consent of both the levels of government. 5 Courts have the power to interpret the constitutio n and the powers of different levels of government. The highest court acts as an umpire if disputes arise between different levels of government in the exercise of their respective powers. 6 Sources of revenue for each level of government","Federalism 15 7 The federal system thus has dual objectives: to safeguard and promote unity of the country, while at the same time accommodate regional diversity. Therefore, two aspects are crucial for the institutions and practice of federalism. Governments at different levels should agree to some rules of power-sharing. They should also trust that each would abide by its part of the agreement. An ideal federal system has both aspects : mutual trust and agreement to live together. The exact balance of power between the central and the state government varies from one federation to another. This balance depends mainly on the historical context in which the federation was formed. There are two kinds of routes through which federations have been formed. The first route involves independent States coming together on their own to form a bigger unit, so that by pooling sovereignty and retaining identity, they can increase their security. This type of ‘coming;Federalism 15 7 The federal system thus has dual objectives: to safeguard and promote unity of the country, while at the same time accommodate regional diversity. Therefore, two aspects are crucial for the institutions and practice of federalism. ","Federalism 15 7 The federal system thus has dual objectives: to safeguard and promote unity of the country, while at the same time accommodate regional diversity. Therefore, two aspects are crucial for the institutions and practice of federalism. Governments at different levels should agree to some rules of power-sharing. They should also trust that each would abide by its part of the agreement. An ideal federal system has both aspects : mutual trust and agreement to live together. The exact balance of power between the central and the state government varies from one federation to another. This balance depends mainly on the historical context in which the federation was formed. There are two kinds of routes through which federations have been formed. The first route involves independent States coming together on their own to form a bigger unit, so that by pooling sovereignty and retaining identity, they can increase their security. This type of ‘coming;Federalism 15 7 The federal system thus has dual objectives: to safeguard and promote unity of the country, while at the same time accommodate regional diversity. Therefore, two aspects are crucial for the institutions and practice of federalism. ",,
